# This is ionized PAHs from DL (2007)
# nsize (number of sampled sizes in this file
# sizes (microns)
# n_size = 30 
#    3.0000E-04  3.3056E-04  3.6424E-04  4.0135E-04  4.4223E-04  4.8729E-04  5.3693E-04  5.9163E-04  6.5190E-04  7.1832E-04  7.9150E-04  8.7213E-04  9.6098E-04  1.0589E-03  1.1668E-03  1.2856E-03  1.4166E-03  1.5609E-03  1.7199E-03  1.8951E-03  2.0882E-03  2.3010E-03  2.5354E-03  2.7937E-03  3.0783E-03  3.3919E-03  3.7374E-03  4.1182E-03  4.5377E-03  5.0000E-03
#
# Index=	   0  radius=   0.0003000000
# Radius 	 Lambda 	 Qabs 	 Qext 
3.0000e-04 3.8081e+00 1.5904e-06 1.5904e-06 
3.0000e-04 3.8284e+00 1.5655e-06 1.5655e-06 
3.0000e-04 3.8487e+00 1.5428e-06 1.5428e-06 
3.0000e-04 3.8692e+00 1.5219e-06 1.5219e-06 
3.0000e-04 3.8897e+00 1.5026e-06 1.5026e-06 
3.0000e-04 3.9104e+00 1.4847e-06 1.4847e-06 
3.0000e-04 3.9312e+00 1.4680e-06 1.4680e-06 
3.0000e-04 3.9521e+00 1.4526e-06 1.4526e-06 
3.0000e-04 3.9731e+00 1.4381e-06 1.4381e-06 
3.0000e-04 3.9942e+00 1.4246e-06 1.4246e-06 
3.0000e-04 4.0154e+00 1.4119e-06 1.4119e-06 
3.0000e-04 4.0368e+00 1.4000e-06 1.4000e-06 
3.0000e-04 4.0582e+00 1.3888e-06 1.3888e-06 
3.0000e-04 4.0798e+00 1.3783e-06 1.3783e-06 
3.0000e-04 4.1015e+00 1.3685e-06 1.3685e-06 
3.0000e-04 4.1233e+00 1.3592e-06 1.3592e-06 
3.0000e-04 4.1452e+00 1.3505e-06 1.3505e-06 
3.0000e-04 4.1672e+00 1.3423e-06 1.3423e-06 
3.0000e-04 4.1894e+00 1.3346e-06 1.3346e-06 
3.0000e-04 4.2117e+00 1.3274e-06 1.3274e-06 
3.0000e-04 4.2340e+00 1.3207e-06 1.3207e-06 
3.0000e-04 4.2565e+00 1.3144e-06 1.3144e-06 
3.0000e-04 4.2792e+00 1.3085e-06 1.3085e-06 
3.0000e-04 4.3019e+00 1.3030e-06 1.3030e-06 
3.0000e-04 4.3248e+00 1.2979e-06 1.2979e-06 
3.0000e-04 4.3477e+00 1.2933e-06 1.2933e-06 
3.0000e-04 4.3709e+00 1.2890e-06 1.2890e-06 
3.0000e-04 4.3941e+00 1.2852e-06 1.2852e-06 
3.0000e-04 4.4174e+00 1.2818e-06 1.2818e-06 
3.0000e-04 4.4409e+00 1.2788e-06 1.2788e-06 
3.0000e-04 4.4645e+00 1.2763e-06 1.2763e-06 
3.0000e-04 4.4882e+00 1.2742e-06 1.2742e-06 
3.0000e-04 4.5121e+00 1.2726e-06 1.2726e-06 
3.0000e-04 4.5361e+00 1.2714e-06 1.2714e-06 
3.0000e-04 4.5602e+00 1.2708e-06 1.2708e-06 
3.0000e-04 4.5844e+00 1.2706e-06 1.2706e-06 
3.0000e-04 4.6088e+00 1.2709e-06 1.2709e-06 
3.0000e-04 4.6333e+00 1.2718e-06 1.2718e-06 
3.0000e-04 4.6579e+00 1.2732e-06 1.2732e-06 
3.0000e-04 4.6827e+00 1.2753e-06 1.2753e-06 
3.0000e-04 4.7076e+00 1.2781e-06 1.2781e-06 
3.0000e-04 4.7326e+00 1.2817e-06 1.2817e-06 
3.0000e-04 4.7577e+00 1.2862e-06 1.2862e-06 
3.0000e-04 4.7830e+00 1.2916e-06 1.2916e-06 
3.0000e-04 4.8084e+00 1.2980e-06 1.2980e-06 
3.0000e-04 4.8340e+00 1.3058e-06 1.3058e-06 
3.0000e-04 4.8597e+00 1.3149e-06 1.3149e-06 
3.0000e-04 4.8855e+00 1.3257e-06 1.3257e-06 
3.0000e-04 4.9115e+00 1.3386e-06 1.3386e-06 
3.0000e-04 4.9376e+00 1.3541e-06 1.3541e-06 
3.0000e-04 4.9638e+00 1.3726e-06 1.3726e-06 
3.0000e-04 4.9902e+00 1.3953e-06 1.3953e-06 
3.0000e-04 5.0167e+00 1.4233e-06 1.4233e-06 
3.0000e-04 5.0434e+00 1.4586e-06 1.4586e-06 
3.0000e-04 5.0702e+00 1.5041e-06 1.5041e-06 
3.0000e-04 5.0971e+00 1.5643e-06 1.5643e-06 
3.0000e-04 5.1242e+00 1.6462e-06 1.6462e-06 
3.0000e-04 5.1515e+00 1.7603e-06 1.7603e-06 
3.0000e-04 5.1788e+00 1.9188e-06 1.9188e-06 
3.0000e-04 5.2064e+00 2.1319e-06 2.1319e-06 
3.0000e-04 5.2340e+00 2.3722e-06 2.3722e-06 
3.0000e-04 5.2618e+00 2.5415e-06 2.5415e-06 
3.0000e-04 5.2898e+00 2.5255e-06 2.5255e-06 
3.0000e-04 5.3179e+00 2.3620e-06 2.3620e-06 
3.0000e-04 5.3462e+00 2.1799e-06 2.1799e-06 
3.0000e-04 5.3746e+00 2.0483e-06 2.0483e-06 
3.0000e-04 5.4032e+00 1.9746e-06 1.9746e-06 
3.0000e-04 5.4319e+00 1.9495e-06 1.9495e-06 
3.0000e-04 5.4608e+00 1.9648e-06 1.9648e-06 
3.0000e-04 5.4898e+00 2.0172e-06 2.0172e-06 
3.0000e-04 5.5190e+00 2.1100e-06 2.1100e-06 
3.0000e-04 5.5483e+00 2.2518e-06 2.2518e-06 
