U=1.000 
ngas=6.000e+06 (cm-3) 
mean_lam=1.300 (um) 
gamma=0.700 
amax=2.500 (um) 
dust_composition=astro 
! 
Av= 0.000,14.796,41.154,221.104,10886.093
! 
NH= 0.00000e+00,2.14542e+22,5.96732e+22,3.20601e+23,1.57848e+25
! 
w	 p(Av=0.000)	 p(Av=14.796)	 p(Av=41.154)	 p(Av=221.104)	 p(Av=10886.093)
6.237e-01	 -3.942e+02	 4.602e+00	 6.120e+00	 5.107e+00	 nan	 
6.310e-01	 -3.978e+02	 4.669e+00	 6.232e+00	 5.215e+00	 nan	 
6.383e-01	 -4.003e+02	 4.713e+00	 6.281e+00	 5.249e+00	 nan	 
6.457e-01	 -4.030e+02	 4.763e+00	 6.346e+00	 5.293e+00	 nan	 
6.531e-01	 -4.065e+02	 4.828e+00	 6.452e+00	 5.398e+00	 nan	 
6.607e-01	 -4.100e+02	 4.894e+00	 6.561e+00	 5.501e+00	 nan	 
6.683e-01	 -4.134e+02	 4.962e+00	 6.676e+00	 5.605e+00	 nan	 
6.761e-01	 -4.156e+02	 5.008e+00	 6.736e+00	 5.658e+00	 nan	 
6.839e-01	 -4.177e+02	 5.053e+00	 6.791e+00	 5.686e+00	 nan	 
6.918e-01	 -4.210e+02	 5.119e+00	 6.905e+00	 5.802e+00	 nan	 
6.998e-01	 -4.243e+02	 5.187e+00	 7.024e+00	 5.914e+00	 nan	 
7.079e-01	 -4.274e+02	 5.251e+00	 7.136e+00	 6.023e+00	 nan	 
7.161e-01	 -4.293e+02	 5.296e+00	 7.198e+00	 6.078e+00	 nan	 
7.244e-01	 -4.315e+02	 5.347e+00	 7.271e+00	 6.121e+00	 nan	 
7.328e-01	 -4.342e+02	 5.409e+00	 7.383e+00	 6.242e+00	 nan	 
7.413e-01	 -4.367e+02	 5.467e+00	 7.487e+00	 6.338e+00	 nan	 
7.499e-01	 -4.395e+02	 5.532e+00	 7.607e+00	 6.453e+00	 nan	 
7.586e-01	 -4.412e+02	 5.578e+00	 7.681e+00	 6.519e+00	 nan	 
7.674e-01	 -4.431e+02	 5.627e+00	 7.754e+00	 6.564e+00	 nan	 
7.763e-01	 -4.454e+02	 5.685e+00	 7.860e+00	 6.678e+00	 nan	 
7.852e-01	 -4.474e+02	 5.740e+00	 7.967e+00	 6.785e+00	 nan	 
7.943e-01	 -4.500e+02	 5.805e+00	 8.097e+00	 6.922e+00	 nan	 
8.035e-01	 -4.514e+02	 5.848e+00	 8.165e+00	 6.962e+00	 nan	 
8.128e-01	 -4.530e+02	 5.898e+00	 8.250e+00	 7.027e+00	 nan	 
8.222e-01	 -4.549e+02	 5.953e+00	 8.360e+00	 7.143e+00	 nan	 
8.318e-01	 -4.567e+02	 6.008e+00	 8.475e+00	 7.266e+00	 nan	 
8.414e-01	 -4.588e+02	 6.069e+00	 8.605e+00	 7.401e+00	 nan	 
8.511e-01	 -4.598e+02	 6.109e+00	 8.674e+00	 7.451e+00	 nan	 
8.610e-01	 -4.607e+02	 6.149e+00	 8.745e+00	 7.488e+00	 nan	 
8.710e-01	 -4.626e+02	 6.208e+00	 8.875e+00	 7.630e+00	 nan	 
8.810e-01	 -4.639e+02	 6.257e+00	 8.985e+00	 7.758e+00	 nan	 
8.913e-01	 -4.656e+02	 6.314e+00	 9.115e+00	 7.891e+00	 nan	 
9.016e-01	 -4.660e+02	 6.348e+00	 9.185e+00	 7.946e+00	 nan	 
9.120e-01	 -4.665e+02	 6.383e+00	 9.256e+00	 7.990e+00	 nan	 
9.226e-01	 -4.677e+02	 6.434e+00	 9.376e+00	 8.111e+00	 nan	 
9.333e-01	 -4.684e+02	 6.476e+00	 9.486e+00	 8.249e+00	 nan	 
9.441e-01	 -4.700e+02	 6.534e+00	 9.628e+00	 8.407e+00	 nan	 
9.550e-01	 -4.699e+02	 6.561e+00	 9.689e+00	 8.428e+00	 nan	 
9.661e-01	 -4.698e+02	 6.592e+00	 9.771e+00	 8.495e+00	 nan	 
9.772e-01	 -4.708e+02	 6.641e+00	 9.897e+00	 8.634e+00	 nan	 
9.886e-01	 -4.713e+02	 6.681e+00	 1.001e+01	 8.777e+00	 nan	 
1.000e+00	 -4.715e+02	 6.718e+00	 1.012e+01	 8.903e+00	 nan	 
1.012e+00	 -4.708e+02	 6.739e+00	 1.019e+01	 8.943e+00	 nan	 
1.023e+00	 -4.701e+02	 6.760e+00	 1.026e+01	 8.989e+00	 nan	 
1.035e+00	 -4.704e+02	 6.798e+00	 1.038e+01	 9.143e+00	 nan	 
1.047e+00	 -4.706e+02	 6.835e+00	 1.050e+01	 9.302e+00	 nan	 
1.059e+00	 -4.702e+02	 6.860e+00	 1.059e+01	 9.400e+00	 nan	 
1.071e+00	 -4.694e+02	 6.879e+00	 1.067e+01	 9.441e+00	 nan	 
1.084e+00	 -4.685e+02	 6.893e+00	 1.073e+01	 9.488e+00	 nan	 
1.097e+00	 -4.686e+02	 6.927e+00	 1.085e+01	 9.628e+00	 nan	 
1.109e+00	 -4.685e+02	 6.957e+00	 1.096e+01	 9.789e+00	 nan	 
1.122e+00	 -4.681e+02	 6.982e+00	 1.106e+01	 9.894e+00	 nan	 
1.135e+00	 -4.668e+02	 6.990e+00	 1.112e+01	 9.927e+00	 nan	 
1.148e+00	 -4.661e+02	 7.008e+00	 1.120e+01	 1.000e+01	 nan	 
1.161e+00	 -4.658e+02	 7.033e+00	 1.131e+01	 1.013e+01	 nan	 
1.175e+00	 -4.654e+02	 7.057e+00	 1.142e+01	 1.029e+01	 nan	 
1.189e+00	 -4.648e+02	 7.075e+00	 1.152e+01	 1.039e+01	 nan	 
1.202e+00	 -4.637e+02	 7.086e+00	 1.159e+01	 1.045e+01	 nan	 
1.216e+00	 -4.622e+02	 7.089e+00	 1.165e+01	 1.049e+01	 nan	 
1.230e+00	 -4.616e+02	 7.109e+00	 1.175e+01	 1.062e+01	 nan	 
1.245e+00	 -4.613e+02	 7.132e+00	 1.187e+01	 1.079e+01	 nan	 
1.259e+00	 -4.607e+02	 7.149e+00	 1.196e+01	 1.090e+01	 nan	 
1.273e+00	 -4.591e+02	 7.151e+00	 1.203e+01	 1.095e+01	 nan	 
1.288e+00	 -4.574e+02	 7.149e+00	 1.209e+01	 1.101e+01	 nan	 
1.303e+00	 -4.569e+02	 7.166e+00	 1.218e+01	 1.113e+01	 nan	 
1.318e+00	 -4.570e+02	 7.193e+00	 1.230e+01	 1.130e+01	 nan	 
1.334e+00	 -4.566e+02	 7.212e+00	 1.242e+01	 1.145e+01	 nan	 
1.349e+00	 -4.553e+02	 7.214e+00	 1.248e+01	 1.151e+01	 nan	 
1.365e+00	 -4.534e+02	 7.208e+00	 1.254e+01	 1.156e+01	 nan	 
1.380e+00	 -4.516e+02	 7.205e+00	 1.261e+01	 1.165e+01	 nan	 
1.396e+00	 -4.501e+02	 7.206e+00	 1.270e+01	 1.181e+01	 nan	 
1.413e+00	 -4.487e+02	 7.208e+00	 1.279e+01	 1.195e+01	 nan	 
1.429e+00	 -4.467e+02	 7.199e+00	 1.285e+01	 1.200e+01	 nan	 
1.445e+00	 -4.448e+02	 7.189e+00	 1.290e+01	 1.206e+01	 nan	 
1.462e+00	 -4.433e+02	 7.186e+00	 1.298e+01	 1.217e+01	 nan	 
1.479e+00	 -4.420e+02	 7.187e+00	 1.306e+01	 1.232e+01	 nan	 
1.496e+00	 -4.409e+02	 7.190e+00	 1.315e+01	 1.246e+01	 nan	 
1.514e+00	 -4.392e+02	 7.182e+00	 1.322e+01	 1.255e+01	 nan	 
1.531e+00	 -4.372e+02	 7.169e+00	 1.327e+01	 1.262e+01	 nan	 
1.549e+00	 -4.354e+02	 7.159e+00	 1.333e+01	 1.270e+01	 nan	 
1.567e+00	 -4.343e+02	 7.160e+00	 1.341e+01	 1.284e+01	 nan	 
1.585e+00	 -4.329e+02	 7.154e+00	 1.349e+01	 1.296e+01	 nan	 
1.603e+00	 -4.313e+02	 7.147e+00	 1.356e+01	 1.310e+01	 nan	 
1.622e+00	 -4.295e+02	 7.133e+00	 1.361e+01	 1.318e+01	 nan	 
1.641e+00	 -4.280e+02	 7.126e+00	 1.368e+01	 1.329e+01	 nan	 
1.660e+00	 -4.262e+02	 7.112e+00	 1.373e+01	 1.338e+01	 nan	 
1.679e+00	 -4.246e+02	 7.101e+00	 1.380e+01	 1.350e+01	 nan	 
1.698e+00	 -4.229e+02	 7.088e+00	 1.385e+01	 1.362e+01	 nan	 
1.718e+00	 -4.214e+02	 7.079e+00	 1.392e+01	 1.374e+01	 nan	 
1.738e+00	 -4.195e+02	 7.060e+00	 1.396e+01	 1.384e+01	 nan	 
1.758e+00	 -4.178e+02	 7.045e+00	 1.401e+01	 1.395e+01	 nan	 
1.778e+00	 -4.161e+02	 7.030e+00	 1.406e+01	 1.404e+01	 nan	 
1.799e+00	 -4.140e+02	 7.008e+00	 1.410e+01	 1.411e+01	 nan	 
1.820e+00	 -4.120e+02	 6.985e+00	 1.413e+01	 1.419e+01	 nan	 
1.841e+00	 -4.103e+02	 6.969e+00	 1.417e+01	 1.431e+01	 nan	 
1.862e+00	 -4.088e+02	 6.955e+00	 1.423e+01	 1.446e+01	 nan	 
1.884e+00	 -4.068e+02	 6.932e+00	 1.426e+01	 1.456e+01	 nan	 
1.906e+00	 -4.050e+02	 6.911e+00	 1.429e+01	 1.464e+01	 nan	 
1.928e+00	 -4.029e+02	 6.885e+00	 1.432e+01	 1.471e+01	 nan	 
1.950e+00	 -4.008e+02	 6.859e+00	 1.433e+01	 1.478e+01	 nan	 
1.972e+00	 -3.993e+02	 6.842e+00	 1.437e+01	 1.489e+01	 nan	 
1.995e+00	 -3.975e+02	 6.821e+00	 1.441e+01	 1.501e+01	 nan	 
2.018e+00	 -3.956e+02	 6.797e+00	 1.443e+01	 1.510e+01	 nan	 
2.042e+00	 -3.940e+02	 6.776e+00	 1.445e+01	 1.519e+01	 nan	 
2.065e+00	 -3.921e+02	 6.751e+00	 1.447e+01	 1.529e+01	 nan	 
2.089e+00	 -3.903e+02	 6.727e+00	 1.449e+01	 1.538e+01	 nan	 
2.114e+00	 -3.886e+02	 6.706e+00	 1.451e+01	 1.548e+01	 nan	 
2.138e+00	 -3.867e+02	 6.679e+00	 1.452e+01	 1.555e+01	 nan	 
2.163e+00	 -3.850e+02	 6.655e+00	 1.453e+01	 1.563e+01	 nan	 
2.188e+00	 -3.833e+02	 6.633e+00	 1.455e+01	 1.573e+01	 nan	 
2.213e+00	 -3.816e+02	 6.608e+00	 1.456e+01	 1.583e+01	 nan	 
2.239e+00	 -3.801e+02	 6.588e+00	 1.458e+01	 1.594e+01	 nan	 
2.265e+00	 -3.784e+02	 6.565e+00	 1.459e+01	 1.603e+01	 nan	 
2.291e+00	 -3.767e+02	 6.540e+00	 1.460e+01	 1.612e+01	 nan	 
2.317e+00	 -3.750e+02	 6.516e+00	 1.460e+01	 1.621e+01	 nan	 
2.344e+00	 -3.735e+02	 6.493e+00	 1.461e+01	 1.630e+01	 nan	 
2.371e+00	 -3.719e+02	 6.471e+00	 1.462e+01	 1.641e+01	 nan	 
2.399e+00	 -3.703e+02	 6.446e+00	 1.462e+01	 1.649e+01	 nan	 
2.427e+00	 -3.688e+02	 6.424e+00	 1.463e+01	 1.660e+01	 nan	 
